order,file_path,thumbnail,width,height,category,subcategory,identifier
0,/images/labels/2048x/0/Amerine-0002.jpg,/images/labels/200x/0/Amerine-0002.jpg,1366,2048,Spain,,0002
1,/images/labels/2048x/0/Amerine-0003.jpg,/images/labels/200x/0/Amerine-0003.jpg,1366,2048,Spain,,0003
2,/images/labels/2048x/0/Amerine-0004.jpg,/images/labels/200x/0/Amerine-0004.jpg,2048,1365,Spain,,0004
3,/images/labels/2048x/0/Amerine-0005.jpg,/images/labels/200x/0/Amerine-0005.jpg,2048,1365,Spain,,0005
4,/images/labels/2048x/0/Amerine-0006.jpg,/images/labels/200x/0/Amerine-0006.jpg,2048,1365,Spain,,0006
5,/images/labels/2048x/0/Amerine-0007.jpg,/images/labels/200x/0/Amerine-0007.jpg,2048,1365,Spain,,0007
6,/images/labels/2048x/0/Amerine-0008.jpg,/images/labels/200x/0/Amerine-0008.jpg,2048,1365,Spain,,0008
7,/images/labels/2048x/0/Amerine-0009.jpg,/images/labels/200x/0/Amerine-0009.jpg,2048,1365,Spain,,0009
8,/images/labels/2048x/0/Amerine-0010.jpg,/images/labels/200x/0/Amerine-0010.jpg,2048,1365,Spain,,0010
9,/images/labels/2048x/0/Amerine-0011.jpg,/images/labels/200x/0/Amerine-0011.jpg,2048,1365,Spain,,0011
10,/images/labels/2048x/0/Amerine-0012.jpg,/images/labels/200x/0/Amerine-0012.jpg,2048,1365,Spain,,0012
11,/images/labels/2048x/0/Amerine-0013.jpg,/images/labels/200x/0/Amerine-0013.jpg,2048,1365,Spain,,0013
12,/images/labels/2048x/0/Amerine-0015.jpg,/images/labels/200x/0/Amerine-0015.jpg,2048,1365,Spain,,0015
13,/images/labels/2048x/0/Amerine-0016.jpg,/images/labels/200x/0/Amerine-0016.jpg,2048,1365,Spain,,0016
14,/images/labels/2048x/0/Amerine-0017.jpg,/images/labels/200x/0/Amerine-0017.jpg,2048,1365,Spain,,0017
15,/images/labels/2048x/0/Amerine-0018.jpg,/images/labels/200x/0/Amerine-0018.jpg,2048,1365,Spain,,0018
16,/images/labels/2048x/0/Amerine-0019.jpg,/images/labels/200x/0/Amerine-0019.jpg,2048,1365,Spain,,0019
17,/images/labels/2048x/0/Amerine-0020.jpg,/images/labels/200x/0/Amerine-0020.jpg,2048,1365,Spain,,0020
18,/images/labels/2048x/0/Amerine-0021.jpg,/images/labels/200x/0/Amerine-0021.jpg,2048,1365,Spain,,0021
19,/images/labels/2048x/0/Amerine-0022.jpg,/images/labels/200x/0/Amerine-0022.jpg,2048,1365,Spain,,0022
20,/images/labels/2048x/0/Amerine-0023.jpg,/images/labels/200x/0/Amerine-0023.jpg,2048,1365,Spain,,0023
21,/images/labels/2048x/0/Amerine-0024.jpg,/images/labels/200x/0/Amerine-0024.jpg,2048,1365,Spain,,0024
22,/images/labels/2048x/0/Amerine-0025.jpg,/images/labels/200x/0/Amerine-0025.jpg,2048,1365,Spain,,0025
23,/images/labels/2048x/0/Amerine-0026.jpg,/images/labels/200x/0/Amerine-0026.jpg,2048,1365,Spain,,0026
24,/images/labels/2048x/0/Amerine-0027.jpg,/images/labels/200x/0/Amerine-0027.jpg,2048,1365,Spain,,0027
25,/images/labels/2048x/0/Amerine-0028.jpg,/images/labels/200x/0/Amerine-0028.jpg,2048,1365,Spain,,0028
26,/images/labels/2048x/0/Amerine-0029.jpg,/images/labels/200x/0/Amerine-0029.jpg,2048,1365,Spain,,0029
27,/images/labels/2048x/0/Amerine-0030.jpg,/images/labels/200x/0/Amerine-0030.jpg,2048,1365,Spain,,0030
28,/images/labels/2048x/0/Amerine-0031.jpg,/images/labels/200x/0/Amerine-0031.jpg,2048,1365,Spain,,0031
